                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.85615,                0.56715,                 1.1125,                0.91476,                0.88518,                0.90116,                 0.5718,                 1.1712,                0.59241,                 1.5188,             0.00057603,             0.00057603,             0.00057603
                     76,                 0.8626,                0.58562,                 1.1178,                0.92539,                0.88582,                0.90901,                0.58429,                 1.2535,                0.61597,                 1.6231,             0.00057153,             0.00057153,             0.00057153
                     77,                0.84877,                0.57066,                  1.111,                0.91308,                0.89843,                0.90411,                0.57267,                 1.2755,                0.60724,                  1.652,             0.00056703,             0.00056703,             0.00056703
                     78,                0.84066,                0.55454,                 1.0992,                0.92408,                0.88482,                0.90949,                 0.5869,                 1.2212,                0.61047,                 1.6234,             0.00056253,             0.00056253,             0.00056253
                     79,                0.84566,                   0.56,                 1.1037,                0.94369,                 0.8937,                0.90592,                0.57572,                 1.2331,                0.64271,                 1.6233,             0.00055804,             0.00055804,             0.00055804
                     80,                 0.8349,                0.55238,                 1.0948,                0.91216,                 0.8716,                 0.9003,                0.58668,                 1.1655,                0.60714,                 1.5267,             0.00055354,             0.00055354,             0.00055354
                     81,                0.84766,                0.57092,                 1.1027,                0.95236,                0.86992,                0.91403,                0.58939,                 1.2109,                 0.5649,                 1.5424,             0.00054904,             0.00054904,             0.00054904
                     82,                0.83978,                0.55795,                 1.1025,                0.93647,                 0.8726,                0.91638,                0.57997,                 1.2219,                0.61999,                 1.5538,             0.00054454,             0.00054454,             0.00054454
                     83,                0.83677,                0.54883,                 1.0916,                0.95156,                0.86413,                0.90664,                0.57985,                 1.2439,                0.61853,                 1.6237,             0.00054004,             0.00054004,             0.00054004
                     84,                0.84174,                0.55307,                 1.1014,                0.94241,                 0.8575,                0.90626,                0.57696,                 1.2398,                0.61298,                 1.6303,             0.00053554,             0.00053554,             0.00053554
                     85,                0.83623,                 0.5545,                 1.0996,                0.91299,                0.87308,                 0.9003,                0.57717,                 1.3012,                0.63852,                 1.6768,             0.00053104,             0.00053104,             0.00053104
                     86,                0.83983,                0.54705,                 1.0928,                0.94178,                0.87749,                0.90196,                0.58245,                 1.2309,                0.60903,                 1.6499,             0.00052654,             0.00052654,             0.00052654
                     87,                0.82545,                 0.5409,                 1.0877,                0.91989,                0.87247,                0.89703,                0.57953,                 1.2215,                0.61072,                  1.625,             0.00052204,             0.00052204,             0.00052204
                     88,                0.81756,                0.53835,                 1.0823,                0.92842,                0.88232,                0.90526,                0.58501,                 1.2758,                0.62613,                 1.6748,             0.00051754,             0.00051754,             0.00051754
                     89,                0.82857,                0.53538,                 1.0842,                0.92001,                0.86151,                0.89582,                0.58976,                 1.1939,                0.61426,                 1.5768,             0.00051304,             0.00051304,             0.00051304
                     90,                0.81251,                0.53876,                 1.0811,                0.90219,                0.88291,                0.90081,                0.58785,                 1.2544,                0.62049,                 1.6849,             0.00050854,             0.00050854,             0.00050854
                     91,                0.81031,                0.52916,                 1.0816,                0.90239,                0.89998,                0.90259,                 0.5947,                 1.1492,                0.57807,                 1.5415,             0.00050404,             0.00050404,             0.00050404
                     92,                0.82886,                0.54213,                 1.0915,                0.91083,                0.88214,                0.90314,                0.59516,                 1.1817,                0.57515,                 1.5541,             0.00049954,             0.00049954,             0.00049954
                     93,                0.81993,                0.53687,                 1.0841,                0.93032,                0.86707,                0.89603,                0.57392,                 1.2469,                0.62718,                 1.6388,             0.00049504,             0.00049504,             0.00049504
                     94,                0.81473,                0.53976,                 1.0847,                0.94474,                0.89212,                0.91396,                0.58372,                 1.2103,                0.57231,                 1.5678,             0.00049054,             0.00049054,             0.00049054
                     95,                0.80575,                0.52385,                 1.0803,                0.94894,                0.87857,                0.91163,                0.58876,                 1.2169,                0.61035,                 1.5689,             0.00048604,             0.00048604,             0.00048604
                     96,                0.81815,                0.53354,                 1.0781,                0.94483,                0.89342,                0.91123,                   0.59,                 1.2177,                 0.6106,                 1.6232,             0.00048154,             0.00048154,             0.00048154
                     97,                0.81165,                0.52742,                 1.0803,                  0.893,                0.87878,                0.89713,                0.58971,                 1.1859,                0.59436,                 1.5632,             0.00047704,             0.00047704,             0.00047704
                     98,                0.81638,                0.52864,                 1.0842,                0.93987,                 0.8709,                0.90414,                 0.5943,                 1.1617,                0.55594,                 1.4929,             0.00047254,             0.00047254,             0.00047254
                     99,                0.80865,                0.52271,                 1.0759,                0.91445,                0.89169,                0.90194,                0.58404,                 1.2201,                0.60035,                 1.5931,             0.00046804,             0.00046804,             0.00046804
                    100,                0.80214,                0.51931,                 1.0722,                0.94087,                0.87317,                0.90468,                0.59501,                 1.1795,                0.58291,                 1.5379,             0.00046354,             0.00046354,             0.00046354
                    101,                0.79467,                0.51618,                 1.0704,                0.92959,                0.88477,                0.91329,                0.59333,                 1.2163,                0.59568,                 1.6102,             0.00045904,             0.00045904,             0.00045904
                    102,                0.81021,                0.52543,                 1.0769,                0.92099,                0.88453,                0.90322,                0.58882,                 1.2118,                0.57583,                 1.6094,             0.00045455,             0.00045455,             0.00045455
                    103,                 0.8044,                0.51896,                 1.0666,                 0.9326,                0.89291,                0.90959,                0.58367,                 1.1985,                0.58347,                 1.5918,             0.00045005,             0.00045005,             0.00045005
                    104,                0.80096,                0.52035,                 1.0726,                0.91369,                0.88497,                0.90304,                0.58212,                 1.2169,                 0.5875,                 1.5659,             0.00044555,             0.00044555,             0.00044555
                    105,                0.78994,                0.51565,                 1.0637,                0.93203,                0.89781,                0.90869,                0.59496,                 1.1823,                  0.581,                 1.5527,             0.00044105,             0.00044105,             0.00044105
                    106,                0.78944,                0.50911,                 1.0663,                0.92061,                0.89157,                0.90762,                0.60027,                  1.152,                0.54744,                 1.5379,             0.00043655,             0.00043655,             0.00043655
                    107,                0.79403,                 0.5039,                  1.065,                 0.9391,                0.90301,                0.91894,                0.60244,                 1.1992,                0.57058,                 1.5834,             0.00043205,             0.00043205,             0.00043205
                    108,                0.78909,                0.49816,                 1.0599,                0.93583,                0.88151,                0.90928,                0.59969,                 1.2047,                 0.5996,                 1.6285,             0.00042755,             0.00042755,             0.00042755
                    109,                0.79264,                0.50385,                 1.0632,                0.92787,                0.88455,                0.90704,                0.59761,                 1.1707,                0.56092,                 1.5961,             0.00042305,             0.00042305,             0.00042305
                    110,                0.77978,                 0.5047,                 1.0539,                0.95418,                0.86696,                0.91399,                0.59764,                 1.2007,                0.55626,                 1.6021,             0.00041855,             0.00041855,             0.00041855
                    111,                0.78007,                0.50595,                 1.0552,                0.92625,                0.88595,                0.90707,                0.59465,                 1.2034,                0.57904,                 1.5712,             0.00041405,             0.00041405,             0.00041405
                    112,                0.78834,                 0.5166,                 1.0644,                0.93924,                0.88109,                0.90856,                0.59657,                  1.178,                0.58502,                 1.5936,             0.00040955,             0.00040955,             0.00040955
                    113,                 0.7757,                0.50003,                 1.0578,                0.90257,                0.90674,                0.90287,                0.59132,                 1.1924,                0.56297,                 1.5941,             0.00040505,             0.00040505,             0.00040505
                    114,                0.77913,                0.49964,                 1.0584,                0.92495,                0.88544,                0.89883,                0.59107,                  1.191,                0.59187,                 1.5556,             0.00040055,             0.00040055,             0.00040055
                    115,                0.77739,                0.49963,                 1.0611,                0.95117,                0.88524,                 0.9101,                0.59517,                 1.1895,                 0.5725,                 1.6026,             0.00039605,             0.00039605,             0.00039605
                    116,                0.77342,                0.50176,                 1.0572,                0.94102,                0.87901,                0.91401,                0.59987,                 1.2007,                 0.5564,                 1.5936,             0.00039155,             0.00039155,             0.00039155
                    117,                0.77205,                0.49584,                 1.0586,                0.91944,                0.88758,                 0.9121,                0.59855,                   1.17,                0.56492,                 1.5356,             0.00038705,             0.00038705,             0.00038705
                    118,                0.77418,                0.49397,                 1.0624,                  0.935,                0.90798,                0.91899,                0.60346,                 1.1822,                0.56482,                 1.5998,             0.00038255,             0.00038255,             0.00038255
                    119,                0.77612,                0.49231,                 1.0505,                0.93869,                0.87177,                0.90899,                 0.5957,                 1.1894,                0.56913,                 1.5982,             0.00037805,             0.00037805,             0.00037805
                    120,                0.76038,                0.48815,                 1.0428,                0.93998,                0.87953,                0.90807,                 0.5977,                 1.1769,                0.54631,                 1.5943,             0.00037355,             0.00037355,             0.00037355
