                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.80838,                  0.456,                 1.0013,                0.93102,                0.88922,                0.91243,                0.56492,                 1.4917,                0.70488,                 1.8266,              0.0004654,              0.0004654,              0.0004654
                    110,                0.79664,                0.44953,                 1.0003,                0.92537,                0.86342,                0.89487,                0.56202,                 1.5077,                0.70875,                 1.9151,             0.00046045,             0.00046045,             0.00046045
                    111,                 0.8008,                 0.4534,                 1.0059,                0.89571,                 0.8881,                0.90039,                0.56567,                  1.475,                0.67903,                 1.7988,              0.0004555,              0.0004555,              0.0004555
                    112,                0.80152,                0.45248,                 1.0021,                0.92612,                0.85618,                 0.8973,                0.57284,                 1.4287,                0.66249,                 1.6784,             0.00045055,             0.00045055,             0.00045055
                    113,                0.80841,                0.44875,                0.99051,                0.94062,                0.85473,                0.89546,                0.56714,                 1.4034,                0.69152,                 1.7042,              0.0004456,              0.0004456,              0.0004456
                    114,                0.80349,                0.45413,                0.99996,                0.95144,                0.85979,                0.89956,                0.56216,                 1.4558,                0.65942,                 1.7486,             0.00044065,             0.00044065,             0.00044065
                    115,                0.79616,                 0.4496,                0.99211,                0.92147,                0.88849,                0.90085,                0.56827,                 1.4272,                0.67145,                 1.8183,              0.0004357,              0.0004357,              0.0004357
                    116,                0.78274,                0.43645,                 0.9925,                0.90859,                0.87045,                0.89577,                0.56968,                  1.407,                0.63771,                 1.7387,             0.00043075,             0.00043075,             0.00043075
                    117,                0.79566,                0.44908,                0.99695,                0.95062,                0.85301,                0.89696,                0.57179,                 1.3908,                0.62319,                 1.7191,              0.0004258,              0.0004258,              0.0004258
                    118,                0.79962,                 0.4573,                 1.0043,                0.92994,                0.87786,                0.90185,                0.58139,                 1.4034,                0.64145,                 1.7473,             0.00042085,             0.00042085,             0.00042085
                    119,                0.79295,                0.44143,                0.99142,                0.94292,                0.85312,                0.89049,                0.57326,                 1.5078,                0.67658,                 1.8266,              0.0004159,              0.0004159,              0.0004159
                    120,                0.80174,                0.44913,                0.99474,                0.90963,                0.85196,                0.88752,                0.56899,                 1.4718,                0.68671,                 1.7944,             0.00041095,             0.00041095,             0.00041095
                    121,                0.79521,                0.44061,                0.99697,                0.92213,                0.88103,                0.90676,                 0.5661,                 1.4904,                0.64177,                 1.8328,               0.000406,               0.000406,               0.000406
                    122,                0.77426,                0.43463,                0.98148,                0.91502,                0.85531,                0.88758,                0.56405,                 1.5099,                0.68338,                 1.8375,             0.00040105,             0.00040105,             0.00040105
                    123,                0.77336,                0.42856,                 0.9805,                0.92313,                0.87223,                0.88436,                0.56399,                  1.535,                0.63885,                 1.9005,              0.0003961,              0.0003961,              0.0003961
                    124,                0.78772,                 0.4428,                 0.9936,                0.94606,                0.88046,                0.90628,                0.57292,                 1.4851,                0.66937,                 1.8171,             0.00039115,             0.00039115,             0.00039115
                    125,                0.77184,                0.43885,                 0.9832,                0.92552,                0.85617,                0.90493,                0.56866,                 1.4427,                0.65486,                 1.7633,              0.0003862,              0.0003862,              0.0003862
                    126,                0.78673,                0.44604,                0.99183,                0.89155,                0.86957,                0.88402,                0.56019,                 1.4563,                0.65402,                 1.8161,             0.00038125,             0.00038125,             0.00038125
                    127,                0.78144,                 0.4342,                0.98029,                0.91069,                0.88219,                0.89146,                0.56081,                 1.5164,                0.68248,                 1.8806,              0.0003763,              0.0003763,              0.0003763
                    128,                0.79295,                0.43281,                0.98534,                0.91534,                0.87731,                0.89351,                0.56071,                 1.4505,                0.68686,                 1.9514,             0.00037135,             0.00037135,             0.00037135
                    129,                0.77761,                0.43657,                0.98632,                 0.9497,                0.88513,                 0.9062,                0.56991,                 1.4262,                 0.6526,                 1.7455,              0.0003664,              0.0003664,              0.0003664
                    130,                0.77091,                0.42881,                0.98259,                0.93796,                0.88386,                0.90566,                 0.5734,                 1.5009,                0.72754,                 1.8403,             0.00036145,             0.00036145,             0.00036145
                    131,                0.78358,                0.43529,                0.99069,                0.94332,                0.87579,                0.90836,                0.57335,                 1.4508,                0.65093,                 1.7821,              0.0003565,              0.0003565,              0.0003565
                    132,                0.76579,                0.43142,                0.98664,                 0.9315,                0.87783,                  0.907,                0.57246,                 1.4911,                0.64794,                 1.8598,             0.00035155,             0.00035155,             0.00035155
                    133,                0.77474,                0.43609,                0.98955,                0.93244,                0.88804,                0.90672,                0.57684,                 1.4207,                0.64152,                 1.7104,              0.0003466,              0.0003466,              0.0003466
                    134,                0.76299,                0.42641,                0.97945,                0.94048,                0.87519,                0.90116,                0.56258,                 1.5465,                0.60171,                 1.8211,             0.00034165,             0.00034165,             0.00034165
                    135,                0.76806,                0.42706,                0.98892,                0.91303,                0.87298,                0.89434,                0.56701,                 1.4911,                0.61884,                 1.8172,              0.0003367,              0.0003367,              0.0003367
                    136,                0.78722,                0.43761,                0.98893,                0.91671,                0.87231,                0.89617,                0.56702,                  1.494,                0.64022,                 1.8349,             0.00033175,             0.00033175,             0.00033175
                    137,                0.76798,                 0.4234,                0.98492,                0.94121,                0.85602,                0.89595,                 0.5662,                 1.4847,                0.59953,                 1.8397,              0.0003268,              0.0003268,              0.0003268
                    138,                 0.7682,                0.42604,                0.97723,                0.93665,                0.88058,                0.90248,                0.57167,                 1.4681,                0.60942,                 1.8338,             0.00032185,             0.00032185,             0.00032185
                    139,                0.77843,                0.43436,                0.98651,                 0.9233,                 0.8777,                 0.8895,                0.56764,                 1.5089,                0.62369,                 1.8857,              0.0003169,              0.0003169,              0.0003169
                    140,                0.76797,                0.43227,                0.98817,                 0.9525,                0.87539,                0.90266,                0.57473,                 1.4812,                0.62075,                 1.8655,             0.00031195,             0.00031195,             0.00031195
                    141,                0.76599,                0.42982,                0.98868,                0.95397,                0.84355,                0.89813,                0.56402,                 1.5188,                0.63709,                 1.9157,               0.000307,               0.000307,               0.000307
                    142,                0.77759,                0.43643,                0.98698,                0.94139,                0.87423,                 0.9109,                0.57476,                   1.46,                0.68517,                  1.763,             0.00030205,             0.00030205,             0.00030205
                    143,                0.75702,                0.41972,                0.97257,                0.92663,                0.87973,                 0.9071,                 0.5699,                 1.4572,                0.64147,                 1.7478,              0.0002971,              0.0002971,              0.0002971
                    144,                0.77252,                0.42931,                0.98239,                0.93862,                0.87392,                0.89578,                0.57389,                 1.4799,                0.66101,                 1.8336,             0.00029215,             0.00029215,             0.00029215
                    145,                0.76159,                0.42095,                0.98254,                0.95426,                0.86086,                0.89302,                 0.5693,                  1.501,                0.67802,                  1.797,              0.0002872,              0.0002872,              0.0002872
                    146,                0.77873,                0.42587,                0.98173,                0.93751,                0.87719,                0.89466,                0.56586,                 1.4669,                0.64987,                 1.7713,             0.00028225,             0.00028225,             0.00028225
                    147,                0.75139,                0.41525,                0.96895,                 0.9539,                0.85856,                0.89426,                0.57499,                 1.4755,                0.66002,                  1.756,              0.0002773,              0.0002773,              0.0002773
                    148,                0.75658,                0.42351,                0.97677,                0.95464,                0.86753,                0.90162,                0.57322,                 1.4699,                 0.6425,                 1.7389,             0.00027235,             0.00027235,             0.00027235
                    149,                0.76514,                0.42147,                0.97363,                0.95133,                0.87061,                0.89862,                0.56876,                 1.4665,                0.65203,                 1.7899,              0.0002674,              0.0002674,              0.0002674
                    150,                0.75518,                0.42577,                0.97953,                0.94118,                0.87396,                 0.9034,                0.56817,                 1.4941,                0.63302,                 1.8861,             0.00026245,             0.00026245,             0.00026245
                    151,                0.75772,                0.42366,                0.97696,                0.93067,                0.87804,                0.90406,                0.56767,                 1.5441,                0.69092,                 1.9181,              0.0002575,              0.0002575,              0.0002575
                    152,                0.75967,                0.42142,                0.98393,                0.93813,                0.86374,                 0.8945,                0.57778,                 1.4686,                0.65799,                 1.8098,             0.00025255,             0.00025255,             0.00025255
                    153,                0.76101,                0.42157,                0.97784,                0.93779,                 0.8714,                0.89187,                0.56827,                 1.4644,                0.64274,                 1.7407,              0.0002476,              0.0002476,              0.0002476
